id,Title,Content,SKU,"Product Type","Parent Product ID","Product Attributes","Product categories",_languages,"Product Type"
274,"[:en]5G Implications for GCC Business[:ar]تأثير الجيل الخامس على أعمال دول مجلس التعاون الخليجي[:]","[:en]Policy Research Report[:ar]Policy Research Report[:]",,simple,0,,"Technology|Country>GCC Region",,simple
989,"[:en]GCC Asset Management - 2019[:ar]إدارة الأصول في دول مجلس التعاون الخليجي - 2019[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Asset Management|Country>GCC Region",,simple
1022,"[:en]GCC Tourism and Hospitality[:ar]قطاع السياحة والضيافة في دول مجلس التعاون الخليجي[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Country>GCC Region|Industry>Hospitality",,simple
1032,"[:en]MSCI upgrades Kuwait to Emerging Markets[:ar]ترقية سوق الكويت إلى مصاف الأسواق الناشئة على مؤشر MSCI[:]","[:en]Marmore First Take Report[:ar]Marmore First Take Report[:]",,simple,0,,"Others>First Take|Country>Kuwait",,simple
1046,"[:en]GCC Banking Mergers - What’s the story so far?[:ar]صفقات الاندماج المصرفي في دول مجلس التعاون الخليجي - ما الذي تم تحقيقه حتى الآن؟[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Banking|Country>GCC Region",,simple
1047,"[:en]Kuwait - Japan: Opportunities for Further Leverage[:ar]الكويت – اليابان: فرص أكثر للارتقاء[:]","[:en]Economy Research Reports[:ar]تقارير البحوث الاقتصادية[:]",,simple,0,,Economy|Country>Kuwait,,simple
1048,"[:en]Kuwait Index Inclusion - How will it redefine Kuwait’s economic prospects?[:ar]إدراج مؤشر السوق الكويتي عالمياً: هل هي بداية لإعادة صياغة آفاق الاقتصاد الكويتي؟[:]","[:en]Capital Market Research Report[:ar]تقرير بحوث أسواق المال[:]",,simple,0,,"Capital Markets>Equity|Country>Kuwait",,simple
1054,"[:en]UAE Healthcare[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Healthcare|Country>United Arab Emirates",,simple
1056,"[:en]UAE Banking Sector 2018[:ar]القطاع المصرفي الإماراتي 2018[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Banking|Country>United Arab Emirates",,simple
1059,"[:en]Saudi Education[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Education|Country>Saudi Arabia",,simple
1063,"[:en]2019 Global Outlook - What Experts Say[:ar]النظرة المستقبلية العالمية لعام 2019 - ماذا يقول الخبراء[:]","[:en]Capital Market Research Report[:ar]تقرير بحوث أسواق المال[:]",,simple,0,,"Country>GCC Region|Capital Markets>Market Outlook",,simple
1068,"[:en]Financial Analysis of Saudi Arabian Oil Company (Saudi Aramco)[:]","[:en]Capital Markets Research Report[:]",,simple,0,,"Capital Markets>Equity|Country>Saudi Arabia",,simple
1076,"[:en]Saudi Arabia Roads & Railways[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Roads and Railways|Country>Saudi Arabia",,simple
1079,"[:en]GCC’s Best Capital Allocators[:ar]أفضل مخصصات رأس المال في دول مجلس التعاون الخليجي[:]","[:en]Capital Markets Research Report[:ar]تقرير بحوث أسواق المال[:]",,simple,0,,"Capital Markets>Equity|Country>GCC Region",,simple
1090,"[:en]GCC’s RODE Stocks[:ar]أسهم RODE* في دول مجلس التعاون الخليجي[:]","[:en]Capital Market Research Report[:ar]تقرير بحوث أسواق المال[:]",,simple,0,,"Country>GCC Region|Capital Markets>Stocks",,simple
1136,"[:en]Kuwait Banking Sector Outlook 2020[:]","[:en]Asset quality under pressure as operating environment turns challenging[:]",,simple,0,,Industry>Banking|Country>Kuwait,,simple
1159,"[:en]GCC Online Retail[:ar]GCC Online Retail[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Country>GCC Region|Industry>Retail",,simple
1161,"[:en]Private Equity in GCC[:]","[:en]Industry Research Report[:]",,simple,0,,"Capital Markets>Equity|Country>GCC Region|Industry>Others",,simple
1163,"[:en]UAE Aviation[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Aviation|Country>United Arab Emirates",,simple
1166,"[:en]GCC Aviation - Full Service Carriers (FSC)[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Aviation|Country>GCC Region",,simple
1176,"[:en]Saudi Power Sector - Challenges & Opportunities post Covid-19[:ar]Saudi Power Sector - Challenges & Opportunities post Covid-19[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Power|Country>Saudi Arabia",,simple
1208,"[:en]Kuwait and the UK - Opportunities for Further Leverage[:ar]الكويت والمملكة المتحدة – فرص أكثر للارتقاء[:]","[:en]Economy Research Reports[:ar]تقارير البحوث الاقتصادية[:]",,simple,0,,Economy|Country>Kuwait,,simple
1218,"[:en]Kuwait - U.S.[:]","[:en]Economy Research Reports[:]",,simple,0,,Economy|Country>Kuwait,,simple
1223,"[:en]Kuwait - China: Opportunities for Further Leverage[:ar]الكويت والصين: فرص أكثر للارتقاء[:]","[:en]Economy Research Reports[:ar]تقارير البحوث الاقتصادية[:]",,simple,0,,Economy|Country>Kuwait,,simple
1619,"[:en]Qatar Banking Sector[:ar]Qatar Banking Sector[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,Industry>Banking|Country>Qatar,,simple
1620,"[:en]Qatar Telecom Sector[:]","[:en]Industry Research Report[:]",,simple,0,,Country>Qatar|Industry>Telecom,,simple
1621,"[:en]REITs in GCC[:]","[:en]Industry Research Report[:]",,simple,0,,"Country>GCC Region|Industry>Others",,simple
1622,"[:en]Saudi Arabia Banking Sector: Caught in the COVID-19 Grip[:]","[:en]Industry Research Report[:]",,simple,0,,"Industry>Banking|Country>Saudi Arabia",,simple
1623,"[:en]GCC Food & Beverage Sector[:]","[:en]Industry Research Report[:]",,simple,0,,"Country>GCC Region|Industry>Others",,simple
1625,"[:en]Demographics & Kuwait Banking[:]","[:en]Industry Research Report[:]",,simple,0,,Industry>Banking|Country>Kuwait|Industry>Others,,simple
1631,"[:en]UAE Hospitality[:ar]قطاع الضيافة في الإمارات[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Hospitality|Country>United Arab Emirates",,simple
1632,"[:en]GCC Banking Sector 2018 - 7 Factors to Watch[:ar]القطاع المصرفي في دول مجلس التعاون الخليجي 2018[:]","[:en]Industry Research Report[:ar]Industry Research Report[:]",,simple,0,,"Industry>Banking|Country>GCC Region",,simple
