id,Title,Content,video_url,Slug,Date,"Author Username"
532,"GCC Banking Outlook 2018","<ul>
 	<li>Aftermath of oil crisis: Where does GCC banking industry stand?</li>
 	<li>Could evolving trends instigate a paradigm shift in banking sector?</li>
 	<li>Is a recovery in sight for credit growth?</li>
</ul> ",https://www.youtube.com/embed/yUvl1KcC8kU,gcc-banking-outlook-2018,2018-05-14,Jene
533,"Capital Market Reforms in GCC","<ul>
 	<li>Overview of Capital Market Developments in GCC</li>
 	<li>Saudi Arabia &amp; Kuwait: A Closer Look</li>
 	<li>What would it imply for investors?</li>
</ul>",https://www.youtube.com/embed/oKzfvWTRKf8,capital-market-reforms-in-gcc-2,2018-03-15,Jene
534,"Fintech in the GCC region","<ul>
 	<li>Introduction on Fintech</li>
 	<li>What are the avenues for Fintech adoption in the GCC?</li>
 	<li>Growth drivers and Challenges for Fintech in the GCC</li>
</ul>",https://www.youtube.com/embed/Hop4rWAim_I,fintech-in-the-gcc-region-2,2018-03-05,Jene
535,"GCC Economic Themes & Capital Market Outlook for 2018","<ul>
 	<li>Key economic themes that would shape up the outlook for GCC countries in 2018.</li>
 	<li>Review of capital market performance during 2017.</li>
 	<li>Outlook for GCC stock &amp; debt market in 2018.</li>
</ul>",https://www.youtube.com/embed/rQmk21RozgA,gcc-economic-themes-capital-market-outlook-for-2018,2018-02-06,Jene
536,"Bitcoin, Blockchain and Cryptocurrency Bubble?","<ul>
 	<li>Blockchain - How it works?</li>
 	<li>How does one mine bitcoins, buy or sell it?</li>
 	<li>Are bitcoins and other cryptocurrencies in a bubble?</li>
</ul>",https://www.youtube.com/embed/obs95dqSnP8,bitcoin-blockchain-and-cryptocurrency-bubble,2018-01-17,Jene
537,"Blockchain – Current and potential applications in the GCC region","<ul>
 	<li>How Blockchain is disrupting traditional payment systems</li>
 	<li>Global banks’s interest in the technology</li>
 	<li>Scope of Blockchain applications in the GCC context</li>
</ul>",https://www.youtube.com/embed/YhgYvt_HpR4,blockchain-current-and-potential-applications-in-the-gcc-region,2017-03-30,Jene
538,"GCC Industry Margins – Winners and Laggards","<ul>
 	<li>Understand which sectors earn the highest and lowest margins in the GCC</li>
 	<li>How the margins have changed over the years</li>
 	<li>Key factors influencing the margins</li>
</ul>",https://www.youtube.com/embed/zVKlBlOFhT0,gcc-industry-margins-winners-and-laggards,2016-08-18,Jene
539,"Estimating the impact of Brexit on GCC economies","<ul>
 	<li>Understand the significance of the event and what it portends for the global economy.</li>
 	<li>Analyze the various channels through which the event will impact GCC economies.</li>
 	<li>Estimate the impact on the investments made by GCC investors in Britain.</li>
</ul>",https://www.youtube.com/embed/GeHTkjs6VNw,estimating-the-impact-of-brexit-on-gcc-economies,2016-08-03,Jene
540,"Which GCC Stocks Created / Destroyed Wealth?","<ul>
 	<li>Learn about the top wealth creators and destructors during 2006 – 2015.</li>
 	<li>The amount of wealth created and destroyed by top and bottom performers.</li>
 	<li>The risk-return, sector and country analysis of the top and bottom performers.</li>
</ul>",https://www.youtube.com/embed/-SjyDsw80iM|https://www.youtube.com/embed/-SjyDsw80iM,which-gcc-stocks-created-destroyed-wealth,2016-05-19,Jene
541,"Top GCC Risks - 2016","<ul>
 	<li>Understand various tailwinds that GCC has to contend with in 2016 – Oil Price, Fed Rate hike, China etc…</li>
 	<li>Analyze its possible impact on GCC Economies, Stock Markets, Bond Markets and Real Estate</li>
</ul>",https://www.youtube.com/embed/ZhbERtc4E0g,top-gcc-risks-2016,2016-03-29,Jene
