id,Title,Content,Date
165,"Britain starts talks with UAE for post-Brexit trade deal","UK International Trade Secretary Liam Fox took part in 'high-level political and business discussions with UAE officials and businesses' during the World Government Summit in Dubai.",2019-04-09
167,"KES forum discusses challenges, opportunities of tech projects","Kuwait’s $200m Tech Fund a step towards embracing digital technology: Expert. KUWAIT: Kuwait Economic Society (KES) hosted a forum titled ‘Tech Projects in Kuwait: Challenges and Opportunities’, geared towards startups.",2019-04-09
169,"NRIs make a wish list ahead of Indian budget","Most pin little hopes on spending plan ahead of general elections this year",2019-04-09
500,"Why cryptocurrencies are facing an uncertain future","However, strong volumes and large transaction figures point towards potential push upwards by end-2019.",2019-06-23
502,"The Winners and the Losers in the Trade War Between US and China","Analysts expect that the US dollar, Japanese yen and Swiss franc will be major beneficiaries.",2019-06-05
504,"US-China trade war: The winners and losers","Investors have to carefully pick assets, from currencies to commodities.",2019-06-04
506,"Marmore: GCC Sovereign Wealth Funds Dominate in Asset Growth","With the aim of reducing their dependency on hydrocarbons, diversification efforts of the GCC states have surged...",2019-07-05
510,"Markaz: Oil Rally Fuels Stock Markets in GCC","Saudi Arabia and Kuwait stand out for the year.",2019-05-04
511,"For rebounding Dubai IPO market, liquidity remains key","The Initial Public Offering (IPO) market in Dubai is likely to see a rebound this year after a long period of lull.",2019-04-27
513,"Performance of most GCC markets improve: Markaz","Kuwait and Saudi Arabia clock 12% yearly gain each in 2019.",2019-04-08
514,"SME sector in GCC Region","Small and Medium-sized Enterprises (SMEs) across the world play a dynamic role in industrialization.",2019-04-02
516,"Marmore-Markaz: Consultants bring high influence on policies but variable on implementation in the GCC economies","Marmore-Markaz: Consultants bring high influence on policies but variable on implementation in the GCC economies.",2019-03-31
517,"GISS, MPHC stocks surge on Energy Bank announcement","After past couple of weeks’ muted performance, Qatar stocks rebounded yesterday as investors took refuge in blue chips.",2019-03-28
520,"Banks will drive GCC earnings growth for 2019","Amidst muted growth expectations in the global markets, economic outlook for GCC region as a whole remains positive.",2019-03-26
522,"Knowledge partnership aiming to provide innovative research in the GCC","Marmore MENA Intelligence signs MoU with TAC ECONOMICS.",2019-03-19
523,"M&A sweeping across GCC banking sector calls for in-depth research to maximize benefits: Raghu","During Markaz's seminar organized in collaboration with Kuwait Banking Association.",2019-03-11
524,"Emaar, Emirates NBD top list of GCC 'bargain stocks'","Two of Emaar's listed companies, several of the Gulf's top banks, ranked highly on the Markaz list of undervalued stocks.",2019-03-10
924,"Investcorp's Co-CEO Rishi Kapoor Is Courting Growth By Looking East","The Bahrain-based firm had acquired IDFC, a private equity business in India",2019-07-04
926,"India budget to focus on rural economy, jobs","Analysts and experts said the government is expected to cut taxes on business",2019-07-04
1072,"Party Mood Sours in Saudi Markets After $20 Billion Bonanza","Expected inflows from inclusion in EM indexes set to taper. Wooing active managers likely ‘a hard grind’...",2019-07-14
1481,"Government initiatives, low valuations to trigger UAE markets rebound: Daman Investments","Dubai-based Daman Investments is optimistic about UAE stock markets...",2019-08-05
1708,"Markaz: GCC markets feel the impact of trade war","Markaz report stated that GCC markets ended the month of August in negative territory.",2019-09-01
1710,"Higher foreign ownership limits to boost UAE investment flows","Increasing foreign ownership would enable UAE banks to broaden investor base.",2019-09-08
1759,"Boursa Kuwait set for boost from index upgrade and oil sell-offs","Boursa Kuwait’s 176 listed companies, nearly three-quarters of their weight.",2019-09-10
1924,"MENA Funds: Best and worst performers in H1 2019","Which funds were the main gainers and losers for H1 2019 and the last five years in the UAE, Saudi Arabia and Egypt?",2019-09-17
2078,"AUM Industry Poised For Growth","The asset under management (AUM) industry in Qatar is still in a nascent stage but is poised to grow in the coming years as the government is encouraging more investors including foreigners to derive maximum benefit from this untapped industry with large potential.",2019-09-25
2294,"Markaz: Geopolitics influence GCC Markets in September, Oil turns volatile","Kuwait's All Share Index fell for the second straight month, down by 4.4% during September, suffering from the profit booking after the MSCI EM index inclusion announcement in July",2019-10-02
2295,"India vows to revive growth as RBI cuts rates again","Central bank in fifth straight cut this year, will stick to accommodative stance as needed",2019-10-04
2296,"Expo 2020: Dubai likely to see 4% growth in the next 12 months","Emirate expected to grow over 4% in next one year as economic activity gains momentum",2019-10-19
2348,"CNBC Arabia Interview with M.R Raghu about Kuwait Fintech","Kuwait Fintech Conference",2019-10-28
2358,"Fintech Talk - Future of Financial Services","M.R. Raghu, CFA, FRM, FCMA, EVP, Published Research, Markaz and MD of Marmore, speaking at ‘FinTech’ talk organized by KFAS",2019-10-30
2375,"How visa reforms boost UAE economy","The UAE government has opened up visas to welcome foreign investments and boost trade ties as it serves the Mena region as the gateway for the same.",2019-11-03
