id,Title,Content,"Image Featured"
370,"H1, 2019 Issue","<h3 class=""bulletin_subtitle"">GCC Stock Market Outlook 2019</h3>
<p class=""bulletin_para"">What to Expect in 2019</p>
<p class=""bulletin_para"">Amidst muted growth expectations in global markets, economic outlook for the GCC region as a hole remains positive...</p>

<h3 class=""bulletin_subtitle"">GCC Inclusion in J P Morgan’s EM Bond Index</h3>
<p class=""bulletin_para"">The Hurray Moment</p>
<p class=""bulletin_para"">J.P. Morgan has recently said that Saudi Arabia, UAE, Bahrain, Kuwait and Qatar sovereign bonds would be added to its Emerging Market Bond Index (EMBI) from January 2019...</p>

<h3 class=""bulletin_subtitle"">GCC Economic and Investment Themes 2019</h3>
<p class=""bulletin_para"">In 2018, all GCC economies barring Bahrain grew at a brisker pace than what was seen in 2017, primarily due to the uptick in Oil prices during the year...</p>

<h3 class=""bulletin_subtitle"">GCC’s Best Capital Allocators</h3>
<p class=""bulletin_para"">Analysis based on ROIC and ROIIC</p>
<p class=""bulletin_para"">In today’s competing environment the question regarding where to invest money is as important as how to invest it...</p>",https://www.marmoremena.com/wp-content/uploads/2019/06/H1-2019-Bulletin.jpg
464,"H1, 2018 Issue","<h3 class=""bulletin_subtitle"">Featured Interview: Dr. Khaled Mahdi</h3>
<p class=""bulletin_para"">Secretary-General of the General Secretariat of the Supreme Council for Planning and Development (GSSCPD) of Kuwait</p>

<h3 class=""bulletin_subtitle"">GCC Capital Market Outlook for 2018</h3>
<p class=""bulletin_para"">GCC Economic Themes</p>
<p class=""bulletin_para"">GCC Equity &amp; Debt Markets Outlook</p>

<h3 class=""bulletin_subtitle"">Bitcoin - A Rally like no other</h3>
<p class=""bulletin_para"">The world of finance has seen asset bubbles every few years and the occurrences of a crisis seem to have a shortened cycle in the past eighty years...</p>
<p class=""bulletin_para"">The renewable energy sector no longer remains at the periphery as an industry for social good alone; but has emerged as a profitable alternative to conventional sources of power generation...</p>",https://www.marmoremena.com/wp-content/uploads/2018/07/H1-2018-Bulletin.jpg
930,"H2, 2018 Issue","<h3 class=""bulletin_subtitle"">Featured Interview: Mr. Manaf A. Alhajeri</h3>
<p class=""bulletin_para"">Chief Executive Officer, Kuwait Financial Centre (Markaz)</p>

<h3 class=""bulletin_subtitle"">Expert Speaks: Dr. R. Seetharaman</h3>
<p class=""bulletin_para"">CEO, Doha Bank</p>

<h3 class=""bulletin_subtitle"">No More Easy Business - Kuwait Remittance Industry</h3>
<p class=""bulletin_para"">Money exchange business in Kuwait dates back to 1942 and since then the industry has grown to be a $16 billion dollar industry with more than 40 players. Marmore estimates the industry size to grow to $17 billion by 2020...</p>

<h3 class=""bulletin_subtitle"">Gulf Bond Issues - What's fuelling appetite for Gulf Bond issues?</h3>
<p class=""bulletin_para"">The bond market in the GCC region saw bond issuances to the tune of USD 70 bn, an all-time high issued amount in the year 20171. The first quarter of 2018 has already seen issuances worth USD 16.8 bn...</p>

<h3 class=""bulletin_subtitle"">GCC Corporate Earnings - How have they fared?</h3>
<p class=""bulletin_para"">GCC corporate earnings increased by 16% for the full year in 2017 compared to 2016. UAE, Kuwait and Saudi Arabia were the three countries in the GCC region to register positive earnings growth in 2017...</p>

<h3 class=""bulletin_subtitle"">Book Review: Factfulness By Hans Rosling</h3>
<p class=""bulletin_para"">Ten Reasons We’re Wrong About the World and Why Things Are Better Than You Think</p>
&nbsp;",https://www.marmoremena.com/wp-content/uploads/2019/02/H2-2018-Bulletin.jpg
1369,"H2, 2017 Issue","<h3 class=""bulletin_subtitle"">H1 2017, Market Review</h3>
<p class=""bulletin_para"">- MENA Markets slide along with oil</p>
<p class=""bulletin_para"">- Qatar Crisis: The Unfolding Geopolitical Dynamics of the GCC</p>

<h3 class=""bulletin_subtitle"">Featured Interview: Ms. Mona Al-Daas</h3>
<p class=""bulletin_para"">Assistant Undersecretary for Statistical Affairs Sector, Kuwait Central Statistical Bureau (CSB)</p>

<h3 class=""bulletin_subtitle"">SME Startup Stories in GCC</h3>
<p class=""bulletin_para"">A striking feature of success in most of these companies profiled is the endeavor to customize products or services for users....</p>

<h3 class=""bulletin_subtitle"">Bitcoin To Blockchain</h3>
<p class=""bulletin_para"">The traditional payment model ropes in a third party, trusted by everybody, to be involved in a transaction. Blockchain puts that model to a test by eliminating the centralized system and replacing it with a system that is widely distributed and secured by cryptography...</p>

<h3 class=""bulletin_subtitle"">Saudi Petrochemicals</h3>
<p class=""bulletin_para"">Petrochemicals have been one of the major focus areas of the Government of Saudi Arabia in the past few decades for several reasons...</p>

<h3 class=""bulletin_subtitle"">The 3 Areas AI will Impact GCC</h3>
<p class=""bulletin_para"">Given the reach of disruptive potential and the reach of AI, it could arrive at GCC shores before long...</p>

<h3 class=""bulletin_subtitle"">Book Review: Rise of the Robots, By Martin Ford</h3>
<p class=""bulletin_para"">One of the obvious implications of a potential intelligence explosion is that there would be an overwhelming first-mover advantage. In other words, whoever gets there first will be effectively uncatchable.</p>",https://www.marmoremena.com/wp-content/uploads/2018/02/H2-2017-Bulletin.jpg
1375,"H1, 2017 Issue","<h3 class=""bulletin_subtitle"">Foreword</h3>
<h3 class=""bulletin_subtitle"">Marmore Roundup 2016</h3>
<p class=""bulletin_para"">M R Raghu,</p>
<p class=""bulletin_para"">Managing Director, Marmore MENA Intelligence</p>

<h3 class=""bulletin_subtitle"">Outlook 2017</h3>
<p class=""bulletin_para"">GCC Stock &amp; Debt Market</p>

<h3 class=""bulletin_subtitle"">Research Highlights</h3>
<p class=""bulletin_para"">- GCC Corporate Earnings</p>
<p class=""bulletin_para"">- The What of VAT</p>
<p class=""bulletin_para"">- 30 Most Valuable Non-Banking Companies in GCC</p>

<h3 class=""bulletin_subtitle"">Book Review</h3>
<p class=""bulletin_para"">The Innovators</p>

<h3 class=""bulletin_subtitle"">Marmore Chart Pack</h3>",https://www.marmoremena.com/wp-content/uploads/2017/07/H1-2017-Bulletin.jpg
1382,"Q3, 2016 Issue","<h3 class=""bulletin_subtitle"">Foreword:</h3>
<h3 class=""bulletin_subtitle"">Why Low Oil Price is Good News for Expats...</h3>
<p class=""bulletin_para"">M R Raghu,</p>
<p class=""bulletin_para"">Managing Director, Marmore MENA Intelligence</p>

<h3 class=""bulletin_subtitle"">Quarterly MENA Market Review:</h3>
<p class=""bulletin_para"">MENA Market mixed post-Brexit, as oil stabilizes around $50/barrel</p>

<h3 class=""bulletin_subtitle"">Saudi Aramco IPO:</h3>
<p class=""bulletin_para"">Managing the Big Float</p>

<h3 class=""bulletin_subtitle"">Marmore Research Highlights on:</h3>
<p class=""bulletin_para"">- GCC Sovereign Debt Issuances - $260 - $400 billion through 2020</p>
<p class=""bulletin_para"">- Kuwait Projects: KWD 10bn Awarded - Where is the trickle-down effect</p>
<p class=""bulletin_para"">- GCC Regulatory Digest - H1 2016</p>",https://www.marmoremena.com/wp-content/uploads/2016/10/Q3-2016-Bulletin.jpg
1585,"H2 2019 Issue","<h3 class=""bulletin_subtitle"">5G Implications for GCC Business</h3>
<p class=""bulletin_para"">Explore the 5G readiness of GCC countries in terms of infrastructure and policy as well as the technology’s potential to disrupt</p>
businesses in the region...
<h3 class=""bulletin_subtitle"">The GCC Banking Merger frenzy</h3>
<p class=""bulletin_para"">Stop, Look and Go?</p>
<p class=""bulletin_para"">High profile Mergers and Acquisitions were not a common sight in the GCC Banking industry until now...</p>

<h3 class=""bulletin_subtitle"">Crowdfunding in the GCC</h3>
<p class=""bulletin_para"">an alternate source of funding</p>
<p class=""bulletin_para"">Explore the emergence of crowdfunding in the GCC region, various platforms, their functions, services and the regulatory mechanisms that are in place...</p>

<h3 class=""bulletin_subtitle"">Consulting in GCC</h3>
<p class=""bulletin_para"">Understanding the Value Add</p>
<p class=""bulletin_para"">Explore the dynamics of GCC asset management industry in terms of industry size, architecture, market segments, and cost structure...</p>",https://www.marmoremena.com/wp-content/uploads/2019/08/H2-2019-Bulletin.jpg
5197,"Q1, 2016 Issue","<h3 class=""bulletin_subtitle"">Foreword</h3>

<h3 class=""bulletin_subtitle"">2015 MENA Market Review</h3>
<p class=""bulletin_para"">Oil Slide and budget cuts pull down Markets</p>

<h3 class=""bulletin_subtitle"">Featured Interview: Lamees Taqi Al Baharna</h3>
<p class=""bulletin_para"">Chief Risk Office - Oman Arab Bank</p>

<h3 class=""bulletin_subtitle"">Research Highlights</h3>
<p class=""bulletin_para"">- GCC Healthcare</p>
<p class=""bulletin_para"">- KSA Office Real Estate</p>
<p class=""bulletin_para"">- GCC Liquidity Fall</p>
<p class=""bulletin_para"">- GCC WACC</p>

<h3 class=""bulletin_subtitle"">GCC Market Regulatory Update</h3>

<h3 class=""bulletin_subtitle"">MENA Data at a Glance</h3>",https://www.marmoremena.com/wp-content/uploads/2016/04/Q1-2016-Bulletin.jpg
5198,"Q2, 2016 Issue","<h3 class=""bulletin_subtitle"">Foreword</h3>
<h3 class=""bulletin_subtitle"">MENA Market Review</h3>

<h3 class=""bulletin_subtitle"">Featured Interview: Sheikh Dr. Meshaal Jaber Al-Ahmed Al Sabah</h3>
<p class=""bulletin_para"">Director General - Kuwait Direct Investment Promotion Authority (KDIPA)</p>

<h3 class=""bulletin_subtitle"">Research Highlights</h3>
<p class=""bulletin_para"">- Role of Private Equity</p>
<p class=""bulletin_para"">- KSA Brokerage Industry</p>
<p class=""bulletin_para"">- Kuwait Economic Themes</p>

<h3 class=""bulletin_subtitle"">Expert Opinion: Walid Mourad</h3>
<p class=""bulletin_para"">Portfolio Manager - Lazard Asset Management</p>

<h3 class=""bulletin_subtitle"">MENA Data at a Glance</h3>",https://www.marmoremena.com/wp-content/uploads/2016/07/Q2-2016-Bulletin-1.jpg
5256,"Q1, 2015 Issue","<h3 class=""bulletin_subtitle"">Foreword</h3>

<h3 class=""bulletin_subtitle"">Featured Interview: Jeff Youssef</h3>
<p class=""bulletin_para"">Partner - Oliver Wyman and part of the TICG</p>

<h3 class=""bulletin_subtitle"">Expert Opinion: Bassam Al Othman</h3>
<p class=""bulletin_para"">Executive Vice President, Real Estate MENA - KUwait Financial Centre 'Markaz'</p>

<h3 class=""bulletin_subtitle"">Research Highlights</h3>
<p class=""bulletin_para"">- GCC Wealth Management</p>
<p class=""bulletin_para"">- Kuwait Electricity Tariff Hikes</p>
<p class=""bulletin_para"">- Basel III Norms - Implication for Kuwait Banks</p>
<p class=""bulletin_para"">- Land Reforms in Kuwait</p>

<h3 class=""bulletin_subtitle"">Quarterly Market Review</h3>

<h3 class=""bulletin_subtitle"">GCC Regulatory Update</h3>

<h3 class=""bulletin_subtitle"">MENA Data at a Glance</h3>",https://www.marmoremena.com/wp-content/uploads/2020/07/Q1-2015-Bulletin.jpg
